"title","pub_year","citation","author","conference","pages","publisher","url"
"Energy-based proportional fairness for task offloading and resource allocation in edge computing","2022","ICC 2022-IEEE International Conference on Communications, 1912-1917, 2022","Thai T. Vu, Dinh Thai Hoang, Khoa T. Phan, Diep N. Nguyen, Eryk Dutkiewicz","ICC 2022-IEEE International Conference on Communications","1912-1917","IEEE","https://ieeexplore.ieee.org/abstract/document/9838365/"
"Masked Face Detection with Illumination Awareness","2022","2022 IEEE 16th International Symposium on Medical Information and …, 2022","Tran Hiep Dinh, Quang Manh Doan, Nguyen Linh Trung, Diep N. Nguyen, Chin-Teng Lin","2022 IEEE 16th International Symposium on Medical Information and Communication Technology (ISMICT)","1-6","IEEE","https://ieeexplore.ieee.org/abstract/document/9828233/"
"Optimize Coding and Node Selection for Coded Distributed Computing over Wireless Edge Networks","2022","2022 IEEE Wireless Communications and Networking Conference (WCNC), 1248-1253, 2022","Cong T. Nguyen, Diep N. Nguyen, Dinh Thai Hoang, Hoang-Anh Pham, Eryk Dutkiewicz","2022 IEEE Wireless Communications and Networking Conference (WCNC)","1248-1253","IEEE","https://ieeexplore.ieee.org/abstract/document/9771781/"
"Twin variational auto-encoder for representation learning in iot intrusion detection","2022","2022 IEEE Wireless Communications and Networking Conference (WCNC), 848-853, 2022","Phai Vu Dinh, Nguyen Quang Uy, Diep N. Nguyen, Dinh Thai Hoang, Son Pham Bao, Eryk Dutkiewicz","2022 IEEE Wireless Communications and Networking Conference (WCNC)","848-853","IEEE","https://ieeexplore.ieee.org/abstract/document/9771793/"
"Multiple Correlated Jammers Suppression: A Deep Dueling Q-Learning Approach","2022","2022 IEEE Wireless Communications and Networking Conference (WCNC), 998-1003, 2022","Linh Manh Hoang, Diep Nguyen, J. Andrew Zhang, Dinh Thai Hoang","2022 IEEE Wireless Communications and Networking Conference (WCNC)","998-1003","IEEE","https://ieeexplore.ieee.org/abstract/document/9771672/"
"Defeating Reactive Jammers with Deep Dueling-based Deception Mechanism","2021","ICC 2021-IEEE International Conference on Communications, 1-6, 2021","Nguyen Van Huynh, Diep N. Nguyen, Dinh Thai Hoang, Eryk Dutkiewicz","ICC 2021-IEEE International Conference on Communications","1-6","IEEE","https://ieeexplore.ieee.org/abstract/document/9500391/"
"Defeating Jamming Attacks with Ambient Backscatter Communications","2020","2020 International Conference on Computing, Networking and Communications …, 2020","Nguyen Van Huynh, Diep N. Nguyen, Dinh Thai Hoang, Eryk Dutkiewicz, Markus Mueck, Srikathyayani Srikanteswara","2020 International Conference on Computing, Networking and Communications (ICNC)","405-409","IEEE","https://ieeexplore.ieee.org/abstract/document/9049826/"
"An OFDM Sensing Algorithm in Full-Duplex Systems with Self-Interference and Carrier Frequency Offset","2019","2019 IEEE Global Communications Conference (GLOBECOM), 1-6, 2019","Qingqing Cheng, Zhenguo Shi, Diep N. Nguyen, Eryk Dutkiewicz","2019 IEEE Global Communications Conference (GLOBECOM)","1-6","IEEE","https://ieeexplore.ieee.org/abstract/document/9014093/"
"A novel spectral-efficient resource allocation approach for NOMA-based full-duplex systems","2019","2019 IEEE Global Communications Conference (GLOBECOM), 1-6, 2019","Hieu V. Nguyen, Van-Dinh Nguyen, Octavia A. Dobre, Diep N. Nguyen, Eryk Dutkiewicz, Oh-Soon Shin","2019 IEEE Global Communications Conference (GLOBECOM)","1-6","IEEE","https://ieeexplore.ieee.org/abstract/document/9013457/"
"2D proactive uplink resource allocation algorithm for event based MTC applications","2018","2018 IEEE Wireless Communications and Networking Conference (WCNC), 1-6, 2018","Thai T. Vu, Diep N. Nguyen, Eryk Dutkiewicz","2018 IEEE Wireless Communications and Networking Conference (WCNC)","1-6","IEEE","https://ieeexplore.ieee.org/abstract/document/8377353/"
"Non-Laboratory-Based Risk Factors for Automated Heart Disease Detection","2018","2018 12th International Symposium on Medical Information and Communication …, 2018","H Mai, Thuy T. Pham, Diep N. Nguyen, Eryk Dutkiewicz","2018 12th International Symposium on Medical Information and Communication Technology (ISMICT)","1-6","IEEE","https://ieeexplore.ieee.org/abstract/document/8573706/"
"Quad-band antenna for GSM/WSN/WLAN/LTE-A application in IoT devices","2017","2017 17th International Symposium on Communications and Information …, 2017","Duong Thi Thanh Tu, Nguyen Tuan Ngoc, Forest Zhu, Diep N. Nguyen, Eryk Dutkiewicz, Vu Van Yem","2017 17th International Symposium on Communications and Information Technologies (ISCIT)","1-5","IEEE","https://ieeexplore.ieee.org/abstract/document/8261224/"
