"title","pub_year","citation","author","journal","volume","number","pages","publisher","url"
"Power minimization in mimo cognitive networks","2013","University of Arizona, Tech. Rep. TR-UA-ECE-2013-1, 2013","D Nguyen, Marwan Krunz","University of Arizona, Tech. Rep. TR-UA-ECE-2013-1","","","","","https://www.researchgate.net/profile/Diep-Nguyen-64/publication/260635480_Power_Minimization_in_MIMO_Cognitive_Networks_using_Beamforming_Games/links/5d6b152a92851c8538838de5/Power-Minimization-in-MIMO-Cognitive-Networks-using-Beamforming-Games.pdf"
"Joint power allocation and rate control for rate splitting multiple access networks with covert communications","2023","IEEE Transactions on Communications, 2023","Nguyen Quang Hieu, Dinh Thai Hoang, Dusit Niyato, Diep N. Nguyen, Dong In Kim, Abbas Jamalipour","IEEE Transactions on Communications","","","","IEEE","https://ieeexplore.ieee.org/abstract/document/10038571/"
"When virtual reality meets rate splitting multiple access: A joint communication and computation approach","2023","IEEE Journal on Selected Areas in Communications, 2023","Nguyen Quang Hieu, Diep N. Nguyen, Dinh Thai Hoang, Eryk Dutkiewicz","IEEE Journal on Selected Areas in Communications","","","","IEEE","https://ieeexplore.ieee.org/abstract/document/10033423/"
"Time-sensitive Learning for Heterogeneous Federated Edge Intelligence","2023","IEEE Transactions on Mobile Computing, 2023","Yong Xiao, Xiaohan Zhang, Yingyu Li, Guangming Shi, Marwan Krunz, Diep N. Nguyen, Dinh Thai Hoang","IEEE Transactions on Mobile Computing","","","","IEEE","https://ieeexplore.ieee.org/abstract/document/10018200/"
"High-accuracy low-cost privacy-preserving federated learning in IoT systems via adaptive perturbation","2022","Journal of Information Security and Applications 70, 103309, 2022","Tian Liu, Xueyang Hu, Hairuo Xu, Tao Shu, Diep N. Nguyen","Journal of Information Security and Applications","70","","103309","Elsevier","https://www.sciencedirect.com/science/article/pii/S2214212622001582"
"Elastic Resource Allocation for Coded Distributed Computing over Heterogeneous Wireless Edge Networks","2022","IEEE Transactions on Wireless Communications, 2022","Cong T. Nguyen, Diep N. Nguyen, Dinh Thai Hoang, Khoa Tran Phan, Dusit Niyato, Hoang-Anh Pham, Eryk Dutkiewicz","IEEE Transactions on Wireless Communications","","","","IEEE","https://ieeexplore.ieee.org/abstract/document/9925907/"
"Finite-Blocklength RIS-Aided Transmit Beamforming","2022","IEEE Transactions on Vehicular Technology 71 (11), 12374-12379, 2022","Monir Abughalwa, Hoang D. Tuan, Diep N. Nguyen, H. Vincent Poor, Lajos Hanzo","IEEE Transactions on Vehicular Technology","71","11","12374-12379","IEEE","https://ieeexplore.ieee.org/abstract/document/9839546/"
"Federated learning framework with straggling mitigation and privacy-awareness for ai-based mobile application services","2022","IEEE Transactions on Mobile Computing, 2022","Yuris Mulya Saputra, Diep Nguyen, Hoang Thai Dinh, Quoc-Viet Pham, Eryk Dutkiewicz, Won-Joo Hwang","IEEE Transactions on Mobile Computing","","","","IEEE","https://ieeexplore.ieee.org/abstract/document/9785706/"
"Collaborative Learning for Cyberattack Detection in Blockchain Networks","2022","arXiv preprint arXiv:2203.11076, 2022","Tran Viet Khoa, Do Hai Son, Dinh Thai Hoang, Nguyen Linh Trung, Tran Thi Thuy Quynh, Diep N. Nguyen, Nguyen Viet Ha, Eryk Dutkiewicz","arXiv preprint arXiv:2203.11076","","","","","https://arxiv.org/abs/2203.11076"
"A Novel Covert Communication Method using Ambient Backscatter Communications","2022","arXiv preprint arXiv:2201.06204, 2022","Nguyen Van Huynh, Nguyen Quang Hieu, Nam H. Chu, Diep N. Nguyen, Dinh Thai Hoang, Eryk Dutkiewicz","arXiv preprint arXiv:2201.06204","","","","","https://arxiv.org/abs/2201.06204"
"Energy-based Proportional Fairness in Cooperative Edge Computing","2022","arXiv preprint arXiv:2201.00910, 2022","Thai T. Vu, Dinh Thai Hoang, Khoa T. Phan, Diep N. Nguyen, Eryk Dutkiewicz","arXiv preprint arXiv:2201.00910","","","","","https://arxiv.org/abs/2201.00910"
"Coded Federated Learning Framework for AI-Based Mobile Application Services with Privacy-Awareness","2021","arXiv preprint, 2021","Yuris Mulya Saputra, Diep N. Nguyen, Dinh Thai Hoang, Eryk Dutkiewicz","arXiv preprint","","","","","https://www.academia.edu/download/87389053/2106.09261v1.pdf"
"Jointly Optimize Coding and Node Selection for Distributed Computing over Wireless Edge Networks","2021","arXiv preprint arXiv:2106.05475, 2021","Cong T. Nguyen, Diep N. Nguyen, Dinh Thai Hoang, Hoang-Anh Pham, Eryk Dutkiewicz","arXiv preprint arXiv:2106.05475","","","","","https://arxiv.org/abs/2106.05475"
"Wireless Edge Caching: Modeling, Analysis, and Optimization","2021","Cambridge University Press, 2021","Thang X. Vu, Ejder Baştuğ, Symeon Chatzinotas, Tony QS Quek","","","","","Cambridge University Press","https://books.google.com/books?hl=en&lr=&id=W7EfEAAAQBAJ&oi=fnd&pg=PR14&dq=info:-5L83xhpI6UJ:scholar.google.com&ots=wMkbKKlgsL&sig=HWKoQ_ef7EomkqGwyQ_hgI97CqU"
"Federated Learning Meets Contract Theory: Energy-Efficient Framework for Electric Vehicle Networks","2020","arXiv e-prints, arXiv: 2004.01828, 2020","Yuris Mulya Saputra, Diep N. Nguyen, Dinh Thai Hoang, Thang Xuan Vu, Eryk Dutkiewicz, Symeon Chatzinotas","arXiv e-prints","","","arXiv: 2004.01828","","https://ui.adsabs.harvard.edu/abs/2020arXiv200401828M/abstract"
"An Efficient Algorithm for the k-Dominating Set Problem on Very Large-Scale Networks (Extended Abstract)","2019","Computational Data and Social Networks: 8th International Conference, CSoNet …, 2019","Minh Hai Nguyen, Minh Hoàng Hà, Dinh Thai Hoang, Diep N. Nguyen, Eryk Dutkiewicz, The Trung Tran","","","","74-76","Springer International Publishing","https://link.springer.com/chapter/10.1007/978-3-030-34980-6_9"
"Energy demand prediction with federated learning for electric vehicle networks","2019","arXiv e-prints, arXiv: 1909.00907, 2019","Yuris Mulya Saputra, Dinh Thai Hoang, Diep N. Nguyen, Eryk Dutkiewicz, Markus Dominik Mueck, Srikathyayani Srikanteswara","arXiv e-prints","","","arXiv: 1909.00907","","https://ui.adsabs.harvard.edu/abs/2019arXiv190900907M/abstract"
"Harvesting Short-Lived White Spaces via Opportunistic Traffic Offloading Between Mobile Service Providers","2018","IEEE Transactions on Cognitive Communications and Networking 4 (3), 635-647, 2018","Diep N. Nguyen, Eryk Dutkiewicz, Marwan Krunz","IEEE Transactions on Cognitive Communications and Networking","4","3","635-647","IEEE","https://ieeexplore.ieee.org/abstract/document/8370100/"
"Artificial Intelligence (AI): What Is It and What Does It Mean for Us?","","The Differential, 0","Brandon Ngo, Diep Nguyen","The Differential","","","","","https://www.thedifferentialdx.com/artificial-intelligence-ai-mean-us/"
"Dynamic Resource Allocation for Metaverse Applications with Deep Reinforcement Learning","2023","arXiv preprint arXiv:2302.13445, 2023","Nam H. Chu, Diep N. Nguyen, Dinh Thai Hoang, Khoa T. Phan, Eryk Dutkiewicz, Dusit Niyato, Tao Shu","arXiv preprint arXiv:2302.13445","","","","","https://arxiv.org/abs/2302.13445"
"Network-Aided Intelligent Traffic Steering in 6G ORAN: A Multi-Layer Optimization Framework","2023","arXiv preprint arXiv:2302.02711, 2023","Van-Dinh Nguyen, Thang X. Vu, Nhan Thanh Nguyen, Dinh C. Nguyen, Markku Juntti, Nguyen Cong Luong, Dinh Thai Hoang, Diep N. Nguyen, Symeon Chatzinotas","arXiv preprint arXiv:2302.02711","","","","","https://arxiv.org/abs/2302.02711"
"Distributed Traffic Synthesis and Classification in Edge Networks: A Federated Self-supervised Learning Approach","2023","IEEE Transactions on Mobile Computing, 2023","Yong Xiao, Rong Xia, Yingyu Li, Guangming Shi, Diep N. Nguyen, Dinh Thai Hoang, Dusit Niyato, Marwan Krunz","IEEE Transactions on Mobile Computing","","","","IEEE","https://ieeexplore.ieee.org/abstract/document/10033088/"
"Toward BCI-enabled Metaverse: A Joint Radio and Computing Resource Allocation Approach","2022","arXiv preprint arXiv:2212.08811, 2022","Nguyen Quang Hieu, Dinh Thai Hoang, Diep N. Nguyen, Eryk Dutkiewicz","arXiv preprint arXiv:2212.08811","","","","","https://arxiv.org/abs/2212.08811"
"Toward BCI-enabled Metaverse: A Joint Radio and Computing Resource Allocation Approach","2022","arXiv e-prints, arXiv: 2212.08811, 2022","Nguyen Quang Hieu, Dinh Thai Hoang, Diep N. Nguyen, Eryk Dutkiewicz","arXiv e-prints","","","arXiv: 2212.08811","","https://ui.adsabs.harvard.edu/abs/2022arXiv221208811Q/abstract"
"Optimal Privacy Preserving in Wireless Federated Learning System over Mobile Edge Computing","2022","arXiv preprint arXiv:2211.07166, 2022","Hai M. Nguyen, Nam H. Chu, Diep N. Nguyen, Dinh Thai Hoang, Minh Hoang Ha, Eryk Dutkiewicz","arXiv preprint arXiv:2211.07166","","","","","https://arxiv.org/abs/2211.07166"
"Label driven Knowledge Distillation for Federated Learning with non-IID Data","2022","arXiv preprint arXiv:2209.14520, 2022","Minh-Duong Nguyen, Quoc-Viet Pham, Dinh Thai Hoang, Long Tran-Thanh, Diep N. Nguyen, Won-Joo Hwang","arXiv preprint arXiv:2209.14520","","","","","https://arxiv.org/abs/2209.14520"
"Finite-Element Analysis of RC Beams Strengthened With CFRP U-Wraps","2022","Mechanics of Composite Materials 58 (4), 567-584, 2022","NT Nguyen, TK Nguyen, DH Du, DN Nguyen","Mechanics of Composite Materials","58","4","567-584","Springer US","https://link.springer.com/article/10.1007/s11029-022-10050-1"
"Frequency Hopping Joint Radar-Communications With Hybrid Sub-Pulse Frequency and Duration Modulation","2022","IEEE Wireless Communications Letters 11 (11), 2300-2304, 2022","Linh Manh Hoang, J. Andrew Zhang, Diep N. Nguyen, Dinh Thai Hoang","IEEE Wireless Communications Letters","11","11","2300-2304","IEEE","https://ieeexplore.ieee.org/abstract/document/9865224/"
"A Novel Transfer Learning Model for Intrusion Detection Systems in IoT Networks","2022","Emerging Trends in Cybersecurity Applications, 45-65, 2022","Ly Vu, Quang Uy Nguyen, Dinh Thai Hoang, Diep N. Nguyen, Eryk Dutkiewicz","","","","45-65","Springer International Publishing","https://link.springer.com/chapter/10.1007/978-3-031-09640-2_3"
"When Virtual Reality Meets Rate Splitting Multiple Access: A Joint Communication and Computation Approach","2022","arXiv e-prints, arXiv: 2207.12114, 2022","Nguyen Quang Hieu, Diep N. Nguyen, Dinh Thai Hoang, Eryk Dutkiewicz","arXiv e-prints","","","arXiv: 2207.12114","","https://ui.adsabs.harvard.edu/abs/2022arXiv220712114Q/abstract"
"Advanced Sensing and Automation Technologies","2022","Enabling Technologies for Social Distancing: Fundamentals, concepts and …, 2022","Yuris Mulya Saputra, Nur Rohman Rosyid, Dinh Thai Hoang, Diep N. Nguyen","Enabling Technologies for Social Distancing: Fundamentals, concepts and solutions","","","","Institution of Engineering and Technology","https://opus.lib.uts.edu.au/rest/bitstreams/e3f19eb9-0671-424c-9309-01758b3f7358/retrieve"
"Social distancing and related technologies: fundamental background","2022","Enabling Technologies for Social Distancing: Fundamentals, concepts and …, 2022","CT Nguyen, DT Hoang, DN Nguyen, E. Dutkiewicz","Enabling Technologies for Social Distancing: Fundamentals, concepts and solutions","","","","Institution of Engineering and Technology","https://opus.lib.uts.edu.au/handle/10453/159277"
"Frequency Hopping Joint Radar-Communications with Hybrid Sub-pulse Frequency and Duration","2022","arXiv preprint arXiv:2204.12090, 2022","Linh Manh Hoang, J. Andrew Zhang, Diep N. Nguyen, Dinh Thai Hoang","arXiv preprint arXiv:2204.12090","","","","","https://arxiv.org/abs/2204.12090"
"Accessing a communication channel using disparate communication systems","2022","US Patent App. 17/420,459, 2022","Ying He, Markus Dominik Mueck, Leonardo Gomes Baltar, Mustafa Emara, Miltiadis Filippou, Ren Ping Liu, Dinh Thai Hoang, Diep Nguyen, Eryk Dutkiewicz, Srikanteswara Srikathyayani","","","","","","https://patents.google.com/patent/US20220086854A1/en"
"The Personal Globe Inventory: The structure of vocational interest in Vietnam","2022","Journal of Employment Counseling 59 (1), 27-36, 2022","Philip Rose, Nguyen Phong Nguyen, Jae Kyung Kim, Diep Nguyen","Journal of Employment Counseling","59","1","27-36","","https://onlinelibrary.wiley.com/doi/abs/10.1002/joec.12176"
"Joint Power Allocation and Rate Control for Rate Splitting Multiple Access Networks with Covert Communications","2022","arXiv e-prints, arXiv: 2203.16807, 2022","Nguyen Quang Hieu, Dinh Thai Hoang, Dusit Niyato, Diep N. Nguyen, Dong In Kim, Abbas Jamalipour","arXiv e-prints","","","arXiv: 2203.16807","","https://ui.adsabs.harvard.edu/abs/2022arXiv220316807Q/abstract"
"Collaborative Learning for Cyberattack Detection in Blockchain Networks","2022","arXiv e-prints, arXiv: 2203.11076, 2022","Tran Viet Khoa, Hai Do Son, Dinh Thai Hoang, Nguyen Linh Trung, Tran Thi Thuy Quynh, Diep N. Nguyen, Nguyen Viet Ha, Eryk Dutkiewicz","arXiv e-prints","","","arXiv: 2203.11076","","https://ui.adsabs.harvard.edu/abs/2022arXiv220311076V/abstract"
"AI-empowered Joint Communication and Radar Systems with Adaptive Waveform for Autonomous Vehicles","2022","arXiv preprint arXiv:2202.11508, 2022","Nam H. Chu, Diep N. Nguyen, Dinh Thai Hoang, Quoc-Viet Pham, Won-Joo Hwang, Eryk Dutkiewicz","arXiv preprint arXiv:2202.11508","","","","","https://arxiv.org/abs/2202.11508"
"Multiple Correlated Jammers Nullification using LSTM-based Deep Dueling Neural Network","2022","arXiv preprint arXiv:2202.03600, 2022","Linh Manh Hoang, Diep N. Nguyen, J. Andrew Zhang, Dinh Thai Hoang","arXiv preprint arXiv:2202.03600","","","","","https://arxiv.org/abs/2202.03600"
"Defeating Eavesdroppers with Ambient Backscatter Communications","2022","arXiv preprint arXiv:2201.06204, 2022","Nguyen Van Huynh, Nguyen Quang Hieu, Nam H. Chu, Diep N. Nguyen, Dinh Thai Hoang, Eryk Dutkiewicz","arXiv preprint arXiv:2201.06204","","","","","https://scholar.google.com/scholar?cluster=17955108858575499276&hl=en&oi=scholarr"
"A novel single-point mutation of NEFH and biallelic SACS mutation presenting as intermediate form Charcot-Marie-Tooth: A case report in Vietnam","2022","Surgical Neurology International 13, 2022","Anh Tuan Truong, Anh Thi Lan Luong, Linh Hai Nguyen, Huong Van Nguyen, Diep Ngoc Nguyen, Ngoc Thi Minh Nguyen","Surgical Neurology International","13","","","Scientific Scholar","https://surgicalneurologyint.com/wp-content/uploads/2022/11/12021/SNI-13-553.pdf"
"Open issues and future research directions","2022","Enabling Technologies for Social Distancing: Fundamentals, concepts and …, 2022","Ngoc Tan Nguyen, Thang Xuan Vu, Dinh Thai Hoang, Diep N. Nguyen, Eryk Dutkiewicz","Enabling Technologies for Social Distancing: Fundamentals, concepts and solutions","","","","IET","https://orbilu.uni.lu/handle/10993/52991"
"Enabling Technologies for Social Distancing: Fundamentals, Concepts and Solutions","2022","IET, 2022","Diep N. Nguyen, Dinh Thai Hoang, Thang Xuan Vu, Eryk Dutkiewicz, Björn Ottersten","","","","","IET","https://orbilu.uni.lu/handle/10993/52990"
"Malnutrition prevalence and burden among medical and surgical Vietnamese patients: opportunity for comprehensive nutrition care","2021","Clinical Nutrition ESPEN 46, S675, 2021","LV Nien, C. Brunton, S. Sulo, HA Nguyen, TNN Nguyen, HK Tran, DN Nguyen, BNT Minh, HT Nguyen, TT Vu, QB Truong, HB Nguyen","Clinical Nutrition ESPEN","46","","S675","Elsevier","https://scholar.google.com/scholar?cluster=18375299609302864542&hl=en&oi=scholarr"
"Low-Complexity Iterative Detection for Dual-Mode Index Modulation in Dispersive Nonlinear Satellite Channels","2021","IEEE Transactions on Communications 70 (2), 1261-1275, 2021","Qiaolin Shi, Nan Wu, Diep N. Nguyen, Xiaojing Huang, Hua Wang, Lajos Hanzo","IEEE Transactions on Communications","70","2","1261-1275","IEEE","https://ieeexplore.ieee.org/abstract/document/9620101/"
"Federated Learning Framework with Straggling Mitigation and Privacy-Awareness for AI-based Mobile Application Services","2021","arXiv e-prints, arXiv: 2106.09261, 2021","Yuris Mulya Saputra, Diep N. Nguyen, Dinh Thai Hoang, Quoc-Viet Pham, Eryk Dutkiewicz, Won-Joo Hwang","arXiv e-prints","","","arXiv: 2106.09261","","https://ui.adsabs.harvard.edu/abs/2021arXiv210609261M/abstract"
"8 Wireless Edge Caching for Mobile Social Networks","2021","Wireless Edge Caching: Modeling, Analysis, and Optimization, 146, 2021","Yuris Mulya Saputra, Dinh Thai Hoang, Diep Nguyen, Eryk Dutkiewicz, Dusit Niyato","Wireless Edge Caching: Modeling, Analysis, and Optimization","","","146","Cambridge University Press","https://books.google.com/books?hl=en&lr=&id=M9X7DwAAQBAJ&oi=fnd&pg=PA146&dq=info:REXaKBPZKkcJ:scholar.google.com&ots=omyxjJBPsR&sig=Ga1gitajOKToiqJ9fqIVk8TkxZY"
"Dynamic Federated Learning-Based Economic Framework for Internet-of-Vehicles","2021","arXiv e-prints, arXiv: 2101.00191, 2021","Yuris Mulya Saputra, Dinh Thai Hoang, Diep N. Nguyen, Le-Nam Tran, Shimin Gong, Eryk Dutkiewicz","arXiv e-prints","","","arXiv: 2101.00191","","https://ui.adsabs.harvard.edu/abs/2021arXiv210100191M/abstract"
"Defeating smart and reactive jammers with unlimited power","2020","f IEEE Wireless Communications and Networking Conference (WCNC),, 2020","H Nguyen, H. Dinh, D. Nguyen, E. Dutkiewicz, M. Mueck","f IEEE Wireless Communications and Networking Conference (WCNC),","","","","","https://opus.lib.uts.edu.au/handle/10453/141226"
"Defeating Jamming Attacks with Ambient Backscatter Communications","2020","IEEE International Conference on Computing, Networking and Communications (ICNC), 2020","H Nguyen, D. Nguyen, H. Dinh, Eryk Dutkiewicz, Markus Mueck, Srikathyayani Srikanteswara","IEEE International Conference on Computing, Networking and Communications (ICNC)","","","","","https://opus.lib.uts.edu.au/bitstream/10453/136519/4/Draft2%2BICNC1.pdf"
"Collaborative learning model for cyberattack detection systems in IoT industry 4.0","2020","","Khoa Tran Viet, Saputra Yuris Mulya, Hoang Dinh Thai, Trung Nguyen Linh, Diep Nguyen N, Ha Nguyen Viet, Dutkiewicz Eryk","","","","","","https://eprints.uet.vnu.edu.vn/eprints/id/eprint/4000/"
"Distributed Deep Learning at the Edge: A Novel Proactive and Cooperative Caching Framework for Mobile Edge Networks","2018","arXiv e-prints, arXiv: 1812.05374, 2018","Yuris Mulya Saputra, Dinh Thai Hoang, Diep N. Nguyen, Eryk Dutkiewicz, Dusit Niyato, Dong In Kim","arXiv e-prints","","","arXiv: 1812.05374","","https://ui.adsabs.harvard.edu/abs/2018arXiv181205374M/abstract"
"A Novel Mobile Edge Network Architecture with Joint Caching-Delivering and Horizontal Cooperation","2018","arXiv e-prints, arXiv: 1810.10700, 2018","Yuris Mulya Saputra, Dinh Thai Hoang, Diep N. Nguyen, Eryk Dutkiewicz","arXiv e-prints","","","arXiv: 1810.10700","","https://ui.adsabs.harvard.edu/abs/2018arXiv181010700M/abstract"
"Optimal length-constrained segmentation and subject-adaptive learning for real-time arrhythmia detection","2018","Proceedings of the 2018 IEEE/ACM International Conference on Connected …, 2018","Kha Vo, Eryk Dutkiewicz","","","","112-119","","https://dl.acm.org/doi/abs/10.1145/3278576.3284385"
"Cyberattack Detection in Mobile Cloud Computing: A Deep Learning Approach","2017","arXiv e-prints, arXiv: 1712.05914, 2017","Khoi Khac Nguyen, Dinh Thai Hoang, Dusit Niyato, Ping Wang, Diep Nguyen, Eryk Dutkiewicz","arXiv e-prints","","","arXiv: 1712.05914","","https://ui.adsabs.harvard.edu/abs/2017arXiv171205914K/abstract"
"Wearable Healthcare Systems: A Single Channel Accelerometer Based Anomaly Detector for Studies of Gait Freezing in Parkinson's Disease","2017","IEEE, 2017","Philip Leong, Alistair McEwan, Thuy Pham, Eryk Dutkiewicz, D. Nguyen","","","","","IEEE","https://scholar.google.com/scholar?cluster=7486560804804415563&hl=en&oi=scholarr"
"An anomaly detection technique in wearable wireless monitoring systems for studies of gait freezing in Parkinson's disease","2017","(IEEE) Institute of Electrical and Electronics Engineers, 2017","Philip Leong, Alistair McEwan, Thuy Pham, E. Dutkiewicz, D. Nguyen","","","","","(IEEE) Institute of Electrical and Electronics Engineers","https://scholar.google.com/scholar?cluster=13639396553245962730&hl=en&oi=scholarr"
"Feature Engineering and Supervised Learning Classifiers for Respiratory Artefact Removal","2016","IEEE Globe Communications Conference (GLOBECOM), 2016","T Pham, DN Nguyen, E. Dutkiewicz, A. McEwan, C. Thamrin, P. Robinson, P. Leong","IEEE Globe Communications Conference (GLOBECOM)","","","","IEEE","https://opus.lib.uts.edu.au/handle/10453/91505"
"ASEAN: One Vision, Whose Identity? Civil Society Engagement with ASEAN in the Advancement of Women's Human Rights and the Construction of an ASEAN Collective Identity","2016","Graduate Institute of International and Development Studies, 2016","Diep Hoang Ngoc Nguyen","","","BOOK","","Graduate Institute of International and Development Studies","https://repository.graduateinstitute.ch/record/294216/"
"Resource allocation strategies for cognitive and cooperative MIMO communications: Algorithm and protocol design","2013","The University of Arizona, 2013","Diep Ngoc Nguyen","","","","","","https://search.proquest.com/openview/86f3b3bfce5b98795d13764ca1972028/1?pq-origsite=gscholar&cbl=18750"
"A Dynamic Edge Caching Framework for Mobile 5G Networks","","","Dinh Thai Hoang, Dusit Niyato, Diep Nguyen, Eryk Dutkiewicz, Ping Wang, Zhu Han","","","","","","https://scholar.archive.org/work/ex7ahs7e3ja6fjhflhpluqyqfi/access/wayback/https://opus.lib.uts.edu.au/bitstream/10453/131924/4/Hoang_Final_Manuscript.pdf"
"DeepFake: Deep Dueling-based Deception Strategy","","","Nguyen Van Huynh, Dinh Thai Hoang, Diep N. Nguyen, Eryk Dutkiewicz","","","","","","https://scholar.google.com/scholar?cluster=13824153885003611602&hl=en&oi=scholarr"
